Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Previsão (%);Abstenção;Inscritos_totais;abstenção_totais;Cor1;Visão
2025;Guarda;139520;70975;2241;2041;CDU;3141;0;0,0443;0,4606;10850615;0,44;#006699;Histórico
2025;Guarda;139520;70975;2241;2041;IL;1752;0;0,0247;0,4606;10850615;0,44;#00aeee;Histórico
2025;Guarda;139520;70975;2241;2041;L;1700;0;0,024;0,4606;10850615;0,44;#000000;Histórico
2025;Guarda;139520;70975;2241;2041;PAN;1532;0;0,0216;0,4606;10850615;0,44;#518196;Histórico
2025;Leiria;412030;247099;8597;4995;AD;86472;5;0,3499;0,3673;10850615;0,44;#FFA500;Histórico
2025;Leiria;412030;247099;8597;4995;PS;70909;4;0,287;0,3673;10850615;0,44;#FFC0CB;Histórico
2025;Leiria;412030;247099;8597;4995;CH;32577;1;0,1318;0,3673;10850615;0,44;#201f58;Histórico
2025;Leiria;412030;247099;8597;4995;BE;14895;0;0,0603;0,3673;10850615;0,44;#db0812;Histórico
2025;Leiria;412030;247099;8597;4995;CDU;13422;0;0,0543;0,3673;10850615;0,44;#006699;Histórico
2025;Leiria;412030;247099;8597;4995;IL;10291;0;0,0416;0,3673;10850615;0,44;#00aeee;Histórico
2025;Leiria;412030;247099;8597;4995;L;5617;0;0,0227;0,3673;10850615;0,44;#000000;Histórico
2025;Leiria;412030;247099;8597;4995;PAN;5525;0;0,0224;0,3673;10850615;0,44;#518196;Histórico
2025;Madeira;255796;124179;1642;3586;AD;40669;3;0,3275;0,4941;10850615;0,44;#FFA500;Histórico
2025;Madeira;255796;124179;1642;3586;PS;33314;2;0,2683;0,4941;10850615;0,44;#FFC0CB;Histórico
2025;Madeira;255796;124179;1642;3586;CH;17420;1;0,1403;0,4941;10850615;0,44;#201f58;Histórico
2025;Madeira;255796;124179;1642;3586;BE;5521;0;0,0445;0,4941;10850615;0,44;#db0812;Histórico
2025;Madeira;255796;124179;1642;3586;IL;5016;0;0,0404;0,4941;10850615;0,44;#00aeee;Histórico
2025;Madeira;255796;124179;1642;3586;CDU;3633;0;0,0293;0,4941;10850615;0,44;#006699;Histórico
2025;Madeira;255796;124179;1642;3586;PAN;2404;0;0,0194;0,4941;10850615;0,44;#518196;Histórico
2025;Madeira;255796;124179;1642;3586;L;2250;0;0,0181;0,4941;10850615;0,44;#000000;Histórico
2025;Portalegre;92543;57269;1536;996;PS;20117;1;0,3513;0,3538;10850615;0,44;#FFC0CB;Histórico
2025;Portalegre;92543;57269;1536;996;AD;11892;1;0,2077;0,3538;10850615;0,44;#FFA500;Histórico
2025;Portalegre;92543;57269;1536;996;CH;9545;0;0,1667;0,3538;10850615;0,44;#201f58;Histórico
2025;Portalegre;92543;57269;1536;996;CDU;8643;0;0,1509;0,3538;10850615;0,44;#006699;Histórico
2025;Portalegre;92543;57269;1536;996;BE;3594;0;0,0628;0,3538;10850615;0,44;#db0812;Histórico
2025;Portalegre;92543;57269;1536;996;IL;882;0;0,0154;0,3538;10850615;0,44;#00aeee;Histórico
2025;Portalegre;92543;57269;1536;996;PAN;723;0;0,0126;0,3538;10850615;0,44;#518196;Histórico
2025;Portalegre;92543;57269;1536;996;L;623;0;0,0109;0,3538;10850615;0,44;#000000;Histórico
2025;Santarém;377452;241670;6999;3997;PS;67579;3;0,2796;0,3306;10850615;0,44;#FFC0CB;Histórico
2025;Santarém;377452;241670;6999;3997;AD;59262;3;0,2452;0,3306;10850615;0,44;#FFA500;Histórico
2025;Santarém;377452;241670;6999;3997;CH;31372;1;0,1298;0,3306;10850615;0,44;#201f58;Histórico
2025;Santarém;377452;241670;6999;3997;CDU;26749;1;0,1107;0,3306;10850615;0,44;#006699;Histórico
2025;Santarém;377452;241670;6999;3997;BE;22726;1;0,094;0,3306;10850615;0,44;#db0812;Histórico
2025;Santarém;377452;241670;6999;3997;IL;10618;0;0,0439;0,3306;10850615;0,44;#00aeee;Histórico
2025;Santarém;377452;241670;6999;3997;L;7466;0;0,0309;0,3306;10850615;0,44;#000000;Histórico
2025;Santarém;377452;241670;6999;3997;PAN;7098;0;0,0294;0,3306;10850615;0,44;#518196;Histórico
2025;Setúbal;754775;487405;10866;6145;PS;143963;6;0,2954;0,3317;10850615;0,44;#FFC0CB;Histórico
2025;Setúbal;754775;487405;10866;6145;AD;82674;4;0,1696;0,3317;10850615;0,44;#FFA500;Histórico
2025;Setúbal;754775;487405;10866;6145;CDU;77270;3;0,1585;0,3317;10850615;0,44;#006699;Histórico
2025;Setúbal;754775;487405;10866;6145;CH;49558;2;0,1017;0,3317;10850615;0,44;#201f58;Histórico
2025;Setúbal;754775;487405;10866;6145;BE;44801;2;0,0919;0,3317;10850615;0,44;#db0812;Histórico
2025;Setúbal;754775;487405;10866;6145;IL;26142;1;0,0536;0,3317;10850615;0,44;#00aeee;Histórico
2025;Setúbal;754775;487405;10866;6145;PAN;21708;1;0,0445;0,3317;10850615;0,44;#518196;Histórico
2025;Setúbal;754775;487405;10866;6145;L;20230;0;0,0415;0,3317;10850615;0,44;#000000;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;AD;47936;2;0,3535;0,3905;10850615;0,44;#FFA500;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;PS;44312;2;0,3268;0,3905;10850615;0,44;#FFC0CB;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;CH;17523;1;0,1292;0,3905;10850615;0,44;#201f58;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;BE;6350;0;0,0468;0,3905;10850615;0,44;#db0812;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;CDU;5416;0;0,0399;0,3905;10850615;0,44;#006699;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;IL;4520;0;0,0333;0,3905;10850615;0,44;#00aeee;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;L;2878;0;0,0212;0,3905;10850615;0,44;#000000;Histórico
2025;Viana do Castelo;232603;135589;4009;2174;PAN;2411;0;0,0178;0,3905;10850615;0,44;#518196;Histórico
2025;Vila Real;206902;99058;2246;2416;AD;41190;3;0,4158;0,4987;10850615;0,44;#FFA500;Histórico
2025;Vila Real;206902;99058;2246;2416;PS;31939;2;0,3224;0,4987;10850615;0,44;#FFC0CB;Histórico
2025;Vila Real;206902;99058;2246;2416;CH;9463;0;0,0955;0,4987;10850615;0,44;#201f58;Histórico
2025;Vila Real;206902;99058;2246;2416;BE;6267;0;0,0633;0,4987;10850615;0,44;#db0812;Histórico
2025;Vila Real;206902;99058;2246;2416;CDU;2850;0;0,0288;0,4987;10850615;0,44;#006699;Histórico
2025;Vila Real;206902;99058;2246;2416;PAN;2018;0;0,0204;0,4987;10850615;0,44;#518196;Histórico
2025;Vila Real;206902;99058;2246;2416;L;1735;0;0,0175;0,4987;10850615;0,44;#000000;Histórico
2025;Vila Real;206902;99058;2246;2416;IL;1292;0;0,013;0,4987;10850615;0,44;#00aeee;Histórico
2025;Viseu;334060;199629;5187;3704;AD;87179;4;0,4367;0,3758;10850615;0,44;#FFA500;Histórico
2025;Viseu;334060;199629;5187;3704;PS;59859;3;0,2999;0,3758;10850615;0,44;#FFC0CB;Histórico
2025;Viseu;334060;199629;5187;3704;CH;19629;1;0,0983;0,3758;10850615;0,44;#201f58;Histórico
2025;Viseu;334060;199629;5187;3704;BE;8557;0;0,0429;0,3758;10850615;0,44;#db0812;Histórico
2025;Viseu;334060;199629;5187;3704;CDU;7459;0;0,0374;0,3758;10850615;0,44;#006699;Histórico
2025;Viseu;334060;199629;5187;3704;IL;4289;0;0,0215;0,3758;10850615;0,44;#00aeee;Histórico
2025;Viseu;334060;199629;5187;3704;PAN;4162;0;0,0209;0,3758;10850615;0,44;#518196;Histórico
2025;Viseu;334060;199629;5187;3704;L;2937;0;0,0147;0,3758;10850615;0,44;#000000;Histórico
2025; Totais;10850615;5610548;148618;192396;PS;1672809;78;0,2982;0,4515;10850615;0,44;#FFC0CB;Histórico
2025; Totais;10850615;5610548;148618;192396;AD;1665098;83;0,2968;0,4515;10850615;0,44;#FFA500;Histórico
2025; Totais;10850615;5610548;148618;192396;IL;481408;7;0,0858;0,4515;10850615;0,44;#00aeee;Histórico
2025; Totais;10850615;5610548;148618;192396;BE;451113;16;0,0804;0,4515;10850615;0,44;#db0812;Histórico
